network_name,n_nodes,n_edges,directed,mean_indegree,sd_indegree,mean_outdegree,sd_outdegree,mean_symmetric_degree,sd_symmetric_degree,mean_closeness,sd_closeness,mean_betweenness,sd_betweenness,mean_bonacich,sd_bonacich,centralization_indegree,centralization_outdegree,centralization_symmetric_degree,centralization_closeness,centralization_betweenness,centralization_bonacich,largest_component_proportion,largest_bicomponent_proportion,mean_inverse_distance,global_transitivity,tau_rc
balikatan_2022_unweighted,1347,3146,true,2.3355605048255383,2.6977959541571352,2.3355605048255383,18.551368918378486,4.640682999257609,19.105286031941237,0.2323301286871462,0.11839873846375708,2.750548242774524e-5,0.0003689085809869773,0.020930957333777755,0.04385998529211804,2.6977959541571352,18.551368918378486,19.105286031941237,0.11839873846375708,0.0003689085809869773,0.04385998529211804,0.8069784706755754,0.4914625092798812,0.23233012868714625,0.23183412293115116,2535.9317892148447
balikatan_2022_weighted,1347,3146,true,2.3355605048255383,2.6977959541571352,2.3355605048255383,18.551368918378486,4.640682999257609,19.105286031941237,0.2323301286871462,0.11839873846375708,2.750548242774524e-5,0.00036890858098697726,0.020930957333777755,0.04385998529211804,2.6977959541571352,18.551368918378486,19.105286031941237,0.11839873846375708,0.00036890858098697726,0.04385998529211804,0.8069784706755754,0.4914625092798812,0.23233012868714592,0.23183412293115116,2535.9317892148447
moreno_highschool_unweighted,70,366,true,5.228571428571429,3.640239793707769,5.228571428571429,2.0442313928657,10.457142857142857,4.557795406202796,0.44690131124913707,0.05557790921947307,0.04178845451223968,0.046246605720166506,0.3897064741418452,0.18822819005315727,3.640239793707769,2.0442313928657,4.557795406202796,0.05557790921947307,0.046246605720166506,0.18822819005315727,1.0,1.0,0.44690131124913707,0.4032520325203252,8.73050946579356
moreno_highschool_weighted,70,366,true,5.228571428571429,3.640239793707769,5.228571428571429,2.0442313928657,10.457142857142857,4.557795406202796,0.44690131124913707,0.05557790921947307,0.04178845451223968,0.046246605720166506,0.3897064741418452,0.18822819005315727,3.640239793707769,2.0442313928657,4.557795406202796,0.05557790921947307,0.046246605720166506,0.18822819005315727,1.0,1.0,0.44690131124913707,0.4032520325203252,8.73050946579356
scotland_interlock_unweighted,108,276,false,2.5555555555555554,2.7320641381249926,2.5555555555555554,3.6437972730351236,2.5555555555555554,2.308389143133599,0.25735631047157526,0.1389545089484619,0.011345898887778628,0.020364931295172552,0.19087803374485063,0.18565633979025972,2.7320641381249926,3.6437972730351236,2.308389143133599,0.1389545089484619,0.020364931295172552,0.18565633979025972,0.7962962962962963,0.7314814814814815,0.05497824259506501,0.45837519295035645,0.0
scotland_interlock_weighted,108,276,false,2.5555555555555554,2.7320641381249926,2.5555555555555554,3.6437972730351236,2.5555555555555554,2.308389143133599,0.25735631047157526,0.1389545089484619,0.011345898887778628,0.020364931295172552,0.19087803374485063,0.18565633979025972,2.7320641381249926,3.6437972730351236,2.308389143133599,0.1389545089484619,0.020364931295172552,0.18565633979025972,0.7962962962962963,0.7314814814814815,0.05497824259506502,0.45837519295035645,0.0
synthetic_1_sbm_directed_unweighted,600,8253,true,13.755,3.5202692357953933,13.755,3.358636986041611,27.51,4.981424593926416,0.4538879614171786,0.015218924478579043,0.0029880719072850888,0.0011535804216356875,0.5796563697836988,0.10647946586796925,3.5202692357953933,3.358636986041611,4.981424593926416,0.015218924478579043,0.0011535804216356875,0.10647946586796925,1.0,1.0,0.45388796141717835,0.05350270117580594,-6.81987324380596
synthetic_1_sbm_directed_weighted,600,8277,true,13.795,3.5890263559410367,13.795,3.6366216045240143,27.59,5.1175073491999195,0.45451585976627873,0.015196684700760533,0.002989900484456629,0.0011852326829231141,0.6022980107638738,0.11329449919427957,3.5890263559410367,3.6366216045240143,5.1175073491999195,0.015196684700760533,0.0011852326829231141,0.11329449919427957,1.0,1.0,0.45451585976627873,0.053525838542125184,-4.414609947651629
synthetic_1_sbm_undirected_unweighted,600,4228,false,7.046666666666667,4.056918354257421,7.046666666666667,4.108441030576575,7.046666666666667,1.7458241775697803,0.3831918938972395,0.015286270438402388,0.0029778449031552033,0.0014983282210864475,0.5127994394567551,0.13008448674605633,4.056918354257421,4.108441030576575,1.7458241775697803,0.015286270438402388,0.0014983282210864475,0.13008448674605633,1.0,1.0,0.13365801297416477,0.05693390127593251,0.0
synthetic_1_sbm_undirected_weighted,600,4138,false,6.8966666666666665,3.9647009527786365,6.8966666666666665,3.930445635511544,6.8966666666666665,1.725093853551595,0.38146772398442175,0.015344141420421875,0.0029983082171512166,0.001523403976901586,0.5621149715576629,0.1425888442154657,3.9647009527786365,3.930445635511544,1.725093853551595,0.015344141420421875,0.001523403976901586,0.1425888442154657,1.0,1.0,0.1331964429251573,0.05535959090141349,0.0
synthetic_2_pa_directed_unweighted,250,497,true,1.988,4.650415190688153,1.988,0.14119399056577275,3.976,4.553058903805891,0.3187180722891569,0.0460776036073264,0.00026033164917735465,0.0005255924610215401,0.100457102007648,0.10750031815793225,4.650415190688153,0.14119399056577275,4.553058903805891,0.0460776036073264,0.0005255924610215401,0.10750031815793225,1.0,1.0,0.31871807228915694,0.059496567505720827,63.03335058101442
synthetic_2_pa_directed_weighted,250,497,true,1.988,4.281727309745458,1.988,0.14119399056577275,3.976,4.2035823314966345,0.30907829412889704,0.04338772537390958,0.0002611089519367794,0.0005067226461303272,0.10982623334724399,0.11106741266472017,4.281727309745458,0.14119399056577275,4.2035823314966345,0.04338772537390958,0.0005067226461303272,0.11106741266472017,1.0,1.0,0.309078294128897,0.046511627906976744,52.05071739809595
synthetic_2_pa_undirected_unweighted,250,497,false,1.988,0.14119399056577275,1.988,4.607033212391714,1.988,2.2765294519029453,0.3187180722891569,0.0460776036073264,0.009796476227490608,0.030893451445098467,0.100457102007648,0.10750031815793225,0.14119399056577275,4.607033212391714,2.2765294519029453,0.0460776036073264,0.030893451445098467,0.10750031815793225,1.0,1.0,0.019733907056798596,0.09456359446036168,0.0
synthetic_2_pa_undirected_weighted,250,497,false,1.988,0.14119399056577275,1.988,4.279850990162154,1.988,2.1017911657483173,0.30907829412889704,0.04338772537390958,0.010311439305609535,0.028238193907207183,0.10982623334724399,0.11106741266472017,0.14119399056577275,4.279850990162154,2.1017911657483173,0.04338772537390958,0.028238193907207183,0.11106741266472017,1.0,1.0,0.020408529355517294,0.07359081317533328,0.0
toledo_crime_unweighted,77,106,false,1.3766233766233766,2.620962865652726,1.3766233766233766,1.6546502336633364,1.3766233766233766,1.6978233824127282,0.34442355889724285,0.06934824383634493,0.03082706766917293,0.09539258923120696,0.13698191640264784,0.1449966247468379,2.620962865652726,1.6546502336633364,1.6978233824127282,0.06934824383634493,0.09539258923120696,0.1449966247468379,1.0,0.2727272727272727,0.04519537480063795,0.41502805137789966,0.0
toledo_crime_weighted,77,106,false,1.3766233766233766,2.620962865652726,1.3766233766233766,1.6546502336633364,1.3766233766233766,1.6978233824127282,0.34442355889724285,0.06934824383634493,0.03082706766917293,0.09539258923120696,0.13698191640264784,0.1449966247468379,2.620962865652726,1.6546502336633364,1.6978233824127282,0.06934824383634493,0.09539258923120696,0.1449966247468379,1.0,0.2727272727272727,0.04519537480063795,0.41502805137789966,0.0
