network_name,n_nodes,n_edges,directed,mean_symmetric_degree,sd_symmetric_degree,mean_closeness,sd_closeness,mean_betweenness,sd_betweenness,mean_bonacich,sd_bonacich,centralization_symmetric_degree,centralization_closeness,centralization_betweenness,centralization_bonacich,largest_component_proportion,largest_bicomponent_proportion,mean_inverse_distance,global_transitivity
marvel_universe_unweighted,6486,77227,false,11.906722170829479,31.710693630118147,0.18509916263508122,0.12458538371229981,0.0001338310731490783,0.0011654852211276398,0.027153405930382662,0.0657065550313518,31.710693630118147,0.12458538371229981,0.0011654852211276398,0.0657065550313518,0.6988899167437558,0.6500154178230034,0.050233725996384315,0.7914209568967462
marvel_universe_weighted,6486,77227,false,11.906722170829479,31.710693630118147,0.18509916263508122,0.12458538371229981,0.00013383107314907832,0.0011654852211276398,0.027153405930382662,0.0657065550313518,31.710693630118147,0.12458538371229981,0.0011654852211276398,0.0657065550313518,0.6988899167437558,0.6500154178230034,0.05023372599638432,0.7914209568967462
scotland_interlock_unweighted,108,276,false,2.5555555555555554,2.308389143133599,0.25735631047157526,0.1389545089484619,0.01134589888777863,0.020364931295172552,0.19087803374485063,0.18565633979025972,2.308389143133599,0.1389545089484619,0.020364931295172552,0.18565633979025972,0.7962962962962963,0.7314814814814815,0.054978242595065015,0.45837519295035645
scotland_interlock_weighted,108,276,false,2.5555555555555554,2.308389143133599,0.25735631047157526,0.1389545089484619,0.011345898887778628,0.020364931295172552,0.19087803374485063,0.18565633979025972,2.308389143133599,0.1389545089484619,0.020364931295172552,0.18565633979025972,0.7962962962962963,0.7314814814814815,0.054978242595065015,0.45837519295035645
synthetic_1_sbm_undirected_unweighted,600,4228,false,7.046666666666667,1.7458241775697803,0.3831918938972395,0.015286270438402388,0.002977844903155203,0.0014983282210864475,0.5127994394567551,0.13008448674605633,1.7458241775697803,0.015286270438402388,0.0014983282210864475,0.13008448674605633,1.0,1.0,0.13365801297416474,0.05693390127593251
synthetic_1_sbm_undirected_weighted,600,4138,false,6.8966666666666665,1.725093853551595,0.38146772398442175,0.015344141420421875,0.0029983082171512166,0.001523403976901586,0.5621149715576629,0.1425888442154657,1.725093853551595,0.015344141420421875,0.001523403976901586,0.1425888442154657,1.0,1.0,0.1331964429251573,0.05535959090141349
synthetic_2_pa_undirected_unweighted,250,497,false,1.988,2.2765294519029453,0.3187180722891569,0.0460776036073264,0.009796476227490608,0.030893451445098467,0.100457102007648,0.10750031815793225,2.2765294519029453,0.0460776036073264,0.030893451445098467,0.10750031815793225,1.0,1.0,0.019733907056798596,0.09456359446036168
synthetic_2_pa_undirected_weighted,250,497,false,1.988,2.1017911657483173,0.30907829412889704,0.04338772537390958,0.010311439305609535,0.028238193907207183,0.10982623334724399,0.11106741266472017,2.1017911657483173,0.04338772537390958,0.028238193907207183,0.11106741266472017,1.0,1.0,0.020408529355517294,0.07359081317533328
toledo_crime_unweighted,77,106,false,1.3766233766233766,1.6978233824127282,0.34442355889724285,0.06934824383634493,0.03082706766917293,0.09539258923120696,0.13698191640264784,0.1449966247468379,1.6978233824127282,0.06934824383634493,0.09539258923120696,0.1449966247468379,1.0,0.2727272727272727,0.04519537480063796,0.41502805137789966
toledo_crime_weighted,77,106,false,1.3766233766233766,1.6978233824127282,0.34442355889724285,0.06934824383634493,0.03082706766917293,0.09539258923120696,0.13698191640264784,0.1449966247468379,1.6978233824127282,0.06934824383634493,0.09539258923120696,0.1449966247468379,1.0,0.2727272727272727,0.04519537480063795,0.41502805137789966
